nr,battle,element,first,second
161,battle_of_rivoli,Date,14-15 January 1797,14-15 January 1797
162,battle_of_rivoli,Location,"Rivoli Veronese, Republic of Venice.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°34′00″N 10°49′00″E﻿ / ﻿45.5667°N 10.8167°E","Rivoli Veronese, Republic of Venice.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°34′00″N 10°49′00″E﻿ / ﻿45.5667°N 10.8167°E"
163,battle_of_rivoli,Result,French victory,French victory
164,battle_of_rivoli,Belligerents,French Republic,Habsburg monarchy
165,battle_of_rivoli,Commanders and leaders,Napoleon Bonaparte  André Masséna  Barthélemy Joubert,József Alvinczi  Peter von Quosdanovich  Josef Philipp Vukassovich
166,battle_of_rivoli,Strength,"22,000","28,000"
167,battle_of_rivoli,Casualties and losses,"3,200-5,000","12,000-14,300"
168,battle_of_valvasone,Battle,Battle of Valvasone,Battle of Valvasone
169,battle_of_valvasone,Date,16 March 1797,16 March 1797
170,battle_of_valvasone,Location,"Valvasone, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}46°00′00″N 12°52′00″E﻿ / ﻿46.0000°N 12.8667°E","Valvasone, Italy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}46°00′00″N 12°52′00″E﻿ / ﻿46.0000°N 12.8667°E"
171,battle_of_valvasone,Result,French victory,French victory
172,battle_of_valvasone,Belligerents,France,Habsburg Austria
173,battle_of_valvasone,Commanders and leaders,Napoleon Bonaparte  Jean Baptiste Bernadotte,Archduke Charles
174,battle_of_valvasone,Strength,"Valvasone: 40,000 Gradisca d'Isonzo: 18,000","Valvasone: 5,000 Gradisca d'Isonzo: 2,500, 10 guns"
175,battle_of_valvasone,Casualties and losses,Valvasone: 500 Gradisca d'Isonzo: 0,"Valvasone: 700, 6 guns Gradisca d'Isonzo: 2,500, 10 guns"
176,battle_of_tarvis_(1797),Battle,Battle of Tarvis,Battle of Tarvis
177,battle_of_tarvis_(1797),Date,21-23 March 1797,21-23 March 1797
178,battle_of_tarvis_(1797),Location,"Tarvisio, Italy .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}46°30′18″N 13°34′42″E﻿ / ﻿46.50500°N 13.57833°E","Tarvisio, Italy .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}46°30′18″N 13°34′42″E﻿ / ﻿46.50500°N 13.57833°E"
179,battle_of_tarvis_(1797),Result,French victory,French victory
180,battle_of_tarvis_(1797),Belligerents,France,Habsburg Austria
181,battle_of_tarvis_(1797),Commanders and leaders,Napoleon Bonaparte  André Masséna  Jean Joseph Guieu,Archduke Charles  Adam Bajalics  Joseph Ocskay
182,battle_of_tarvis_(1797),Strength,11000,8000
183,battle_of_tarvis_(1797),Casualties and losses,1200,"4,500, 25 guns 400-500 wagons"
184,french_invasion_of_malta,Battle,French invasion of Malta,French invasion of Malta
185,french_invasion_of_malta,Date,10-12 June 1798,10-12 June 1798
186,french_invasion_of_malta,Location,"Malta and Gozo.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}35°53′N 14°27′E﻿ / ﻿35.883°N 14.450°E","Malta and Gozo.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}35°53′N 14°27′E﻿ / ﻿35.883°N 14.450°E"
187,french_invasion_of_malta,Result,French victory,French victory
188,french_invasion_of_malta,Belligerents,France,Malta  Knights Hospitaller / Order of St. John
189,french_invasion_of_malta,Commanders and leaders,Napoleon Bonaparte  Jean-Andoche Junot  Louis Desaix  Louis Baraguey d'Hilliers  Claude-Henri Belgrand de Vaubois  Jean Louis Ebénézer Reynier,Ferdinand von Hompesch
190,battle_of_shubra_khit,Battle,Battle of Shubra Khit,Battle of Shubra Khit
191,battle_of_shubra_khit,Date,13 July 1798,13 July 1798
192,battle_of_shubra_khit,Location,"Shubra Khit, Egypt, Ottoman Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}31°1′39″N 30°42′46″E﻿ / ﻿31.02750°N 30.71278°E","Shubra Khit, Egypt, Ottoman Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}31°1′39″N 30°42′46″E﻿ / ﻿31.02750°N 30.71278°E"
193,battle_of_shubra_khit,Result,French victory,French victory
194,battle_of_shubra_khit,Belligerents,France,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} Ottoman Empire  Eyalet of Egypt"
195,battle_of_shubra_khit,Commanders and leaders,Napoleon Bonaparte  Jean-Baptiste Perrée,Murad Bey  Ibrahim Bey
196,battle_of_shubra_khit,Strength,"23,000 3 gunboats 1 xebec 1 galley","16,000 Mamluk cavalry Drafted Fellahins 7 gunboats"
197,battle_of_shubra_khit,Casualties and losses,20 killed or wounded,"1,000 killed or wounded 1 gunboat destroyed"
198,french_campaign_in_egypt_and_syria,Battle,French campaign in Egypt and Syria,French campaign in Egypt and Syria
199,french_campaign_in_egypt_and_syria,Date,1 July 1798 - 2 September 1801,1 July 1798 - 2 September 1801
200,french_campaign_in_egypt_and_syria,Location,Ottoman Empire,Ottoman Empire
201,french_campaign_in_egypt_and_syria,Result,Anglo-Ottoman victory End of Mamluk rule in Egypt Formal end of the Franco-Ottoman alliance Failure of French expedition to Syria Capitulation of French administration in Egypt,Anglo-Ottoman victory End of Mamluk rule in Egypt Formal end of the Franco-Ottoman alliance Failure of French expedition to Syria Capitulation of French administration in Egypt
202,french_campaign_in_egypt_and_syria,Belligerents,Ottoman Empire  Eyalet of Egypt  Mamluks Albanian Bashi-bazouks  Great Britain   United Kingdom  Regency of Algiers,French Republic Armée d'Orient
203,french_campaign_in_egypt_and_syria,Commanders and leaders,Selim III Yusuf Pasha Mustafa Pasha Muhammad Ali Pasha Jezzar Pasha Abdullah Pasha  Murad Bey Ibrahim Bey Abdallah Bey Haim Farhi  Ralph Abercromby  Gordon Drummond  Samuel Graham  John Moore  George Ramsay  John Hely-Hutchinson  William Beresford  Sidney Smith Horatio Nelson Mustapha Dey Rais Hamidou Antoine de Phélippeaux,Napoleon Bonaparte Jean Kléber † Thomas Dumas Jacques Menou Jean Lannes Louis Desaix Joachim Murat Louis-Nicolas Davout Jean Rapp René Savary Jean-Antoine Verdier Jean Reynier Louis André Bon † Jean-Baptiste Bessières Cousin de Dommartin  Maximilian Caffarelli  Jean-Baptiste Perrée Charles Dugua Martin Dupuy †  Brueys d'Aigalliers †  Pierre-Charles Villeneuve  Horace Sébastiani  Charles-Louis Lasalle  Rose de Beauharnais  Louis Bonaparte  Géraud Duroc  Joseph Sulkowski   Louis Friant
204,french_campaign_in_egypt_and_syria,Strength,Unknown,"40,000 soldiers 10,000 sailors"
205,french_campaign_in_egypt_and_syria,Casualties and losses,"Ottoman Empire: 50,000 killed and wounded","French Republic: 15,000 killed and wounded"
206,battle_of_the_pyramids,Battle,Battle of the Pyramids,Battle of the Pyramids
207,battle_of_the_pyramids,Date,21 July 1798,21 July 1798
208,battle_of_the_pyramids,Location,"Embabeh, Egypt Ottoman Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}30°5′N 31°12′E﻿ / ﻿30.083°N 31.200°E","Embabeh, Egypt Ottoman Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}30°5′N 31°12′E﻿ / ﻿30.083°N 31.200°E"
209,battle_of_the_pyramids,Result,French victory,French victory
210,battle_of_the_pyramids,Belligerents,French Republic,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} Ottoman Empire  Mamluks Arab irregulars"
211,battle_of_the_pyramids,Commanders and leaders,Napoleon Bonaparte  Louis Desaix  Louis Bon  Jacques Menou  Jean Reynier  Thomas-Alexandre Dumas,Murad Bey  Ibrahim Bey  Ayyub Bey †
212,battle_of_the_pyramids,Strength,"20,000-25,000 3,000 cavalry 17,000 infantry","21,000-60,000 6,000+ cavalry 15,000-54,000 infantry"
213,battle_of_the_pyramids,Casualties and losses,289 killed or wounded,"10,000 killed or wounded"
214,revolt_of_cairo_(1798),Battle,Revolt of Cairo,Revolt of Cairo
215,revolt_of_cairo_(1798),Date,21-22 October 1798,21-22 October 1798
216,revolt_of_cairo_(1798),Location,"Cairo, Egypt, Ottoman empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}30°02′41″N 31°14′44″E﻿ / ﻿30.0446°N 31.2456°E","Cairo, Egypt, Ottoman empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}30°02′41″N 31°14′44″E﻿ / ﻿30.0446°N 31.2456°E"
217,revolt_of_cairo_(1798),Result,French victory,French victory
218,revolt_of_cairo_(1798),Belligerents,French Republic,Cairenes
219,revolt_of_cairo_(1798),Commanders and leaders,Napoleon Bonaparte,Various
220,revolt_of_cairo_(1798),Strength,20000,80000
221,revolt_of_cairo_(1798),Casualties and losses,300 killed 500 wounded,"5,000 to 6,000 killed or wounded"
222,siege_of_el_arish,Battle,Siege of El Arish,Siege of El Arish
223,siege_of_el_arish,Date,8-20 February 1799,8-20 February 1799
224,siege_of_el_arish,Location,"El Arish, Egypt, Ottoman Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}31°07′56″N 33°48′12″E﻿ / ﻿31.1321°N 33.8034°E","El Arish, Egypt, Ottoman Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}31°07′56″N 33°48′12″E﻿ / ﻿31.1321°N 33.8034°E"
225,siege_of_el_arish,Result,French victory,French victory
226,siege_of_el_arish,Belligerents,France,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} Ottoman Empire  Eyalet of Egypt"
227,siege_of_el_arish,Commanders and leaders,Napoleon Bonaparte  Jean Kléber  Jean Reynier,Abdullah Pasha
228,siege_of_el_arish,Strength,2460,15500
229,siege_of_el_arish,Casualties and losses,403 killed and wounded,"1,200 killed and wounded 1,800 captured"
230,siege_of_jaffa,Battle,Siege of Jaffa,Siege of Jaffa
231,siege_of_jaffa,Date,3-7 March 1799,3-7 March 1799
232,siege_of_jaffa,Location,"Jaffa, Sidon Eyalet, Ottoman Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}32°02′43″N 34°46′11″E﻿ / ﻿32.0453°N 34.7697°E","Jaffa, Sidon Eyalet, Ottoman Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}32°02′43″N 34°46′11″E﻿ / ﻿32.0453°N 34.7697°E"
233,siege_of_jaffa,Result,French victory,French victory
234,siege_of_jaffa,Belligerents,French Republic,Ottoman Empire Albanian Bashi-bazouks
235,siege_of_jaffa,Commanders and leaders,Napoleon Bonaparte  Jean-Baptiste Kléber,Ahmed al-Jazzar  Abdallah Bey
236,siege_of_jaffa,Strength,10000,"5,000 mostly Albanian troops"
237,siege_of_jaffa,Casualties and losses,50 killed 200 wounded,"2,000 killed 2,100 prisoners executed"
238,siege_of_acre,Battle,Siege of Acre,Siege of Acre
239,siege_of_acre,Date,20 March - 21 May 1799,20 March - 21 May 1799
240,siege_of_acre,Location,"Acre, Sidon Eyalet, Ottoman Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}32°55′19″N 35°04′12″E﻿ / ﻿32.922°N 35.070°E","Acre, Sidon Eyalet, Ottoman Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}32°55′19″N 35°04′12″E﻿ / ﻿32.922°N 35.070°E"
241,siege_of_acre,Result,Anglo-Ottoman victory,Anglo-Ottoman victory
242,siege_of_acre,Belligerents,Ottoman Empire  Great Britain,French Republic
243,siege_of_acre,Commanders and leaders,Jazzar Pasha  Haim Farhi  Sidney Smith  Antoine de Phélippeaux,Napoleon Bonaparte  Jean-Baptiste Kléber  Eugène de Beauharnais
244,siege_of_acre,Strength,"Garrison: 5,000 men Relief army : 40,000 Support: 2 British ships of the line","12,000-13,000"
245,siege_of_acre,Casualties and losses,"2,000","4,000 or 4,500 2,300 killed 2,200 wounded or ill"
246,battle_of_mount_tabor,Battle,Battle of Mount Tabor,Battle of Mount Tabor
247,battle_of_mount_tabor,Date,16 April 1799,16 April 1799
248,battle_of_mount_tabor,Location,"Al-Fuleh, some 10 km SW of Mount Tabor, Sidon Eyalet, Ottoman Empire .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}32°36′44.81″N 35°19′35.85″E﻿ / ﻿32.6124472°N 35.3266250°E","Al-Fuleh, some 10 km SW of Mount Tabor, Sidon Eyalet, Ottoman Empire .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}32°36′44.81″N 35°19′35.85″E﻿ / ﻿32.6124472°N 35.3266250°E"
249,battle_of_mount_tabor,Result,French victory,French victory
250,battle_of_mount_tabor,Belligerents,French Republic,Ottoman Empire  Mamluks Nablus Tribesman
251,battle_of_mount_tabor,Commanders and leaders,Napoleon Bonaparte  Jean Baptiste Kléber,Abdullah Pasha al-Azm
252,battle_of_mount_tabor,Strength,"4,000","35,000"
253,battle_of_mount_tabor,Casualties and losses,2 killed 60 wounded,"6,000 killed 500 captured"
254,battle_of_abukir_(1799),Battle,Battle of Abukir,Battle of Abukir
255,battle_of_abukir_(1799),Date,25 July 1799,25 July 1799
256,battle_of_abukir_(1799),Location,"Abu Qir, Egypt.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}31°19′N 30°04′E﻿ / ﻿31.317°N 30.067°E","Abu Qir, Egypt.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}31°19′N 30°04′E﻿ / ﻿31.317°N 30.067°E"
257,battle_of_abukir_(1799),Result,French victory,French victory
258,battle_of_abukir_(1799),Belligerents,France,Ottoman Empire
259,battle_of_abukir_(1799),Commanders and leaders,Napoleon Bonaparte Joachim Murat  Géraud Duroc  Jean Lannes  François Lanusse Jacques-François Menou,Mustafa Pasha  Sir William Sidney Smith Patrona Bey Hassan Bey
260,battle_of_abukir_(1799),Strength,"9,000 infantry 1,000 Cavalry 17 guns","5,000 under Mustapha Pasha, 2,000 under Hassan Bey 7,000 in a state fit to fight according to the Pasha 18,000 or 20,000 men 30 guns"
261,battle_of_abukir_(1799),Casualties and losses,220 killed in action 600 wounded,"2,000 killed in action 11,000 drowned 5,000 captured 2,000 missing and unaccounted for"
262,combat_of_turbigo,Battle,Combat of Turbigo,Combat of Turbigo
263,combat_of_turbigo,Date,31 May 1800,31 May 1800
264,combat_of_turbigo,Location,"Turbigo, Province of Milan, Lombardy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°31′41″N 8°43′59″E﻿ / ﻿45.52814805°N 8.73300433°E","Turbigo, Province of Milan, Lombardy.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°31′41″N 8°43′59″E﻿ / ﻿45.52814805°N 8.73300433°E"
265,combat_of_turbigo,Result,French victory,French victory
266,combat_of_turbigo,Belligerents,France,Austria
267,combat_of_turbigo,Commanders and leaders,Napoleon Bonaparte,Johann Ludwig Alexander von Laudon
268,siege_of_fort_bard,Battle,Siege of Fort Bard,Siege of Fort Bard
269,siege_of_fort_bard,Date,14 May - 1 June 1800,14 May - 1 June 1800
270,siege_of_fort_bard,Location,"Fort Bard, Aosta Valley.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°36′30″N 7°44′41″E﻿ / ﻿45.60833°N 7.74472°E","Fort Bard, Aosta Valley.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}45°36′30″N 7°44′41″E﻿ / ﻿45.60833°N 7.74472°E"
271,siege_of_fort_bard,Result,French victory,French victory
272,siege_of_fort_bard,Belligerents,France,Austria  Kingdom of Sardinia
273,siege_of_fort_bard,Commanders and leaders,Napoleon Bonaparte,Josef Stockard Bernkopf
274,siege_of_fort_bard,Strength,French advance guard,400 men
275,siege_of_fort_bard,Casualties and losses,Unknown,200 dead or wounded 200 captured
276,battle_of_marengo,Battle,Battle of Marengo,Battle of Marengo
277,battle_of_marengo,Date,14 June 1800,14 June 1800
278,battle_of_marengo,Location,"Spinetta Marengo, Alessandria, Piedmont.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°53′8″N 8°40′39″E﻿ / ﻿44.88556°N 8.67750°E","Spinetta Marengo, Alessandria, Piedmont.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}44°53′8″N 8°40′39″E﻿ / ﻿44.88556°N 8.67750°E"
279,battle_of_marengo,Result,French victory,French victory
280,battle_of_marengo,Belligerents,French Republic,Habsburg monarchy
281,battle_of_marengo,Commanders and leaders,Napoleon Bonaparte  Louis Desaix †  Louis-Alexandre Berthier  Jean Lannes  François Kellermann,Michael von Melas  Peter Ott
282,battle_of_marengo,Strength,"Originally: 22,000 men, 15 cannons Total: 28,000 men","30,000 men, 100 cannons"
283,battle_of_marengo,Casualties and losses,"1,100 killed 3,600 wounded 900 captured","6,000 killed or wounded 8,000 captured"
284,battle_of_ulm,Battle,Battle of Ulm,Battle of Ulm
285,battle_of_ulm,Date,16-19 October 1805,16-19 October 1805
286,battle_of_ulm,Location,"Ulm, Electorate of Bavaria.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°23′00″N 9°59′00″E﻿ / ﻿48.3833°N 9.9833°E","Ulm, Electorate of Bavaria.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}48°23′00″N 9°59′00″E﻿ / ﻿48.3833°N 9.9833°E"
287,battle_of_ulm,Result,Decisive French victory France gains control over Bavaria,Decisive French victory France gains control over Bavaria
288,battle_of_ulm,Belligerents,French Empire,Habsburg monarchy
289,battle_of_ulm,Commanders and leaders,Napoleon Bonaparte  Michel Ney,Karl Mack von Leiberich   Johann I Joseph
290,battle_of_ulm,Strength,"80,000","40,000"
291,battle_of_ulm,Casualties and losses,"1,500 killed, wounded or captured","4,000 killed or wounded 27,000 captured"
292,battle_of_austerlitz,Battle,Battle of Austerlitz,Battle of Austerlitz
293,battle_of_austerlitz,Date,2 December 1805,2 December 1805
294,battle_of_austerlitz,Location,"Austerlitz, Moravia, Austrian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°07′41″N 16°45′45″E﻿ / ﻿49.12806°N 16.76250°E","Austerlitz, Moravia, Austrian Empire.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct,.mw-parser-output .geo-inline-hidden{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}49°07′41″N 16°45′45″E﻿ / ﻿49.12806°N 16.76250°E"
295,battle_of_austerlitz,Result,French victory Treaty of Pressburg Effective end of the Third Coalition,French victory Treaty of Pressburg Effective end of the Third Coalition
296,battle_of_austerlitz,Belligerents,French Empire,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  Russian Empire  Austrian Empire"
297,battle_of_austerlitz,Commanders and leaders,Napoleon  Jean-Baptiste Bessières  Jean-Baptiste Bernadotte  Louis-Nicolas Davout  Jean-de-Dieu Soult  Jean Lannes  Géraud Duroc  Joachim Murat  Dominique Vandamme,Alexander I  Mikhail Kutuzov  Pyotr Bagration  Konstantin Pavlovich  Wilhelm von Buxhoeveden  Mikhail Miloradovich  Francis II  Franz von Weyrother  Johann I Joseph
298,battle_of_austerlitz,Strength,"65,000-75,000","73,000-89,000"
299,battle_of_austerlitz,Casualties and losses,"Total: 8,852 1,288 killed 6,991 wounded 573 captured","Total: 27,000-36,000 15,000-16,000 killed or wounded 12,000-20,000 captured"
300,battle_of_jena–auerstedt,Battle,Battle of Jena-Auerstedt,Battle of Jena-Auerstedt
301,battle_of_jena–auerstedt,Date,14 October 1806,14 October 1806
